publication_date,article_count
2023-05-17,2
2023-05-18,6
2023-05-19,4
2023-05-23,4
2023-05-24,21
2023-05-25,1
2023-05-26,1
2023-05-29,1
2023-05-30,1
2023-05-31,1
2023-06-02,3
2023-06-07,1
2023-06-08,1
2023-06-13,2
2023-06-14,2
2023-06-15,2
2023-06-20,1
2023-06-21,2
2023-06-22,3
2023-06-23,2
2023-06-28,1
2023-06-30,1
2023-07-03,2
2023-07-04,1
2023-07-05,5
2023-07-06,17
2023-07-07,4
2023-07-10,2
2023-07-11,3
2023-07-12,11
2023-07-13,10
2023-07-14,9
2023-07-15,1
2023-07-17,4
2023-07-18,8
2023-07-19,10
2023-07-20,20
2023-07-21,4
2023-07-22,2
2023-07-23,1
2023-07-24,5
2023-07-25,10
2023-07-26,4
2023-07-27,12
2023-07-28,1
2023-07-31,4
2023-08-01,10
2023-08-02,4
2023-08-03,11
2023-08-04,4
2023-08-07,5
2023-08-08,4
2023-08-09,2
2023-08-10,3
2023-08-11,3
2023-08-14,7
2023-08-15,8
2023-08-16,14
2023-08-17,9
2023-08-18,3
2023-08-20,1
2023-08-21,7
2023-08-22,6
2023-08-23,2
2023-08-24,2
2023-08-25,8
2023-08-27,2
2023-08-28,3
2023-08-29,3
2023-08-30,7
2023-08-31,6
2023-09-01,6
2023-09-05,3
2023-09-06,7
2023-09-07,2
2023-09-08,4
2023-09-11,3
2023-09-12,4
2023-09-13,10
2023-09-14,5
2023-09-15,9
2023-09-17,1
2023-09-18,2
2023-09-20,3
2023-09-21,8
2023-09-25,9
2023-09-26,4
2023-09-27,7
2023-09-28,5
2023-09-29,4
2023-10-02,1
2023-10-03,1
2023-10-04,7
2023-10-05,9
2023-10-06,3
2023-10-08,2
2023-10-09,15
2023-10-10,4
2023-10-11,4
2023-10-12,5
2023-10-13,5
2023-10-16,5
2023-10-17,3
2023-10-18,17
2023-10-19,21
2023-10-20,4
2023-10-22,1
2023-10-23,2
2023-10-24,7
2023-10-25,2
2023-10-26,4
2023-10-28,1
2023-10-30,4
2023-10-31,4
2023-11-01,3
2023-11-02,2
2023-11-03,1
2023-11-06,5
2023-11-07,7
2023-11-08,1
2023-11-09,1
2023-11-10,3
2023-11-13,5
2023-11-14,2
2023-11-15,2
2023-11-16,6
2023-11-17,3
2023-11-20,8
2023-11-21,9
2023-11-22,5
2023-11-23,1
2023-11-24,5
2023-11-27,3
2023-11-28,4
2023-11-30,2
2023-12-01,3
2023-12-02,1
2023-12-03,1
2023-12-05,4
2023-12-06,2
2023-12-07,8
2023-12-08,6
2023-12-11,4
2023-12-12,8
2023-12-13,3
2023-12-14,2
2023-12-15,1
2023-12-16,13
